,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price,district,street,house_number,underground,residential_complex,latitude,longitude,und_long,und_lat,underground_distance
1356,Chase R.E.S.,real_estate_agent,https://www.cian.ru/sale/flat/307521816/,Москва,sale,flat,9,22,2,111.0,43000000.0,Раменки,Минская ,1ГК2,Ломоносовский проспект,Золотые Ключи 2,55.7241647,37.50470968508679,37.51611111111111,55.70722222222222,2.017841693998361
1357,Аврора Проперти,real_estate_agent,https://www.cian.ru/sale/flat/302603095/,Москва,sale,flat,3,7,2,45.0,43000000.0,Пресненский,Большой Тишинский переулок,38,Улица 1905 года,Sinatra,55.7699588,37.5709658,37.56138888888889,55.765,0.8161811678342011
1358,Простор-недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/302245299/,Москва,sale,flat,18,33,2,78.8,43900000.0,Обручевский,Ленинский проспект,95Б,Новаторская,The MID,55.67294535,37.52445217408653,37.522222222222226,55.67,0.356680019442179
1359,Простор-недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/302245299/,Москва,sale,flat,18,33,2,78.8,43900000.0,Обручевский,Ленинский проспект,95Б,Новаторская,The MID,55.67294535,37.52445217408653,37.52027777777778,55.670833333333334,0.3525332017339957
1360,ВРЕМЯ РЕШЕНИЙ,real_estate_agent,https://www.cian.ru/sale/flat/305574982/,Москва,sale,flat,38,48,2,58.0,44490000.0,Хорошево-Мневники, Народного Ополчения,15К1,Народное Ополчение,Wellton Towers,55.7734505,37.47462746788068,37.485,55.77583333333333,0.7029195923973601
1361,TASHIR Estate,representative_developer,https://www.cian.ru/sale/flat/296009970/,Москва,sale,flat,23,32,2,74.2,44678788.0,Черемушки,Херсонская ,43к5,Калужская,ONYX Deluxe,55.65700865,37.559172362084055,37.54055555555556,55.657222222222224,1.1720582958447407
1362,MadeState,real_estate_agent,https://www.cian.ru/sale/flat/303547143/,Москва,sale,flat,14,44,2,68.8,45500000.0,Пресненский,Ходынская ,2,Улица 1905 года,Пресня Сити,55.7703351,37.56379689204056,37.56138888888889,55.765,0.6129246458369917
1363,Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/308017227/,Москва,sale,flat,3,24,2,78.0,46900000.0,Раменки,Мичуринский проспект,7,Ломоносовский проспект,Квартал Шуваловский,55.70183035,37.511114635823006,37.51611111111111,55.70722222222222,0.6775283030171396
1364,WELHOME,real_estate_agent,https://www.cian.ru/sale/flat/307404458/,Москва,sale,flat,12,20,2,84.0,47000000.0,Якиманка, Шаболовка,23,Шаболовская,Созвездие Капитал-1,55.7229832,37.61295064972181,37.608333333333334,55.719722222222224,0.46476683091396875
1365,ID 109135729,realtor,https://www.cian.ru/sale/flat/306924485/,Москва,sale,flat,24,28,2,83.9,47000000.0,Раменки,Винницкая ,8к4,Раменки,Настоящее,55.7020377,37.49241938636364,37.49861111111111,55.6975,0.6378080817096808
1366,Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/307785166/,Москва,sale,flat,17,41,2,68.0,47300000.0,Раменки,1-й Сетуньский проезд,8,Кутузовская,Hide,55.7318713280506,37.54031872779481,37.534444444444446,55.74,0.9773596399099566
1367,Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/308012920/,Москва,sale,flat,11,12,2,77.0,47740000.0,Даниловский,2-я Рощинская ,1,Тульская,Данилов дом,55.7092722,37.61849575521135,37.62277777777778,55.70861111111111,0.27905344675946636
1368,Антон Черников,realtor,https://www.cian.ru/sale/flat/303666136/,Москва,sale,flat,35,85,2,89.7,48000000.0,Пресненский,1-й Красногвардейский проезд,21с2,Деловой центр,МФК ОКО,55.749321550000005,37.53412045829442,37.53944444444444,55.74916666666667,0.3347702443034014
1369,Chase R.E.S.,real_estate_agent,https://www.cian.ru/sale/flat/306849245/,Москва,sale,flat,26,37,2,57.3,48000000.0,Хорошевский,Ленинградский проспект,37/6,Аэропорт,Прайм Парк,55.7940374,37.54245978054966,37.53277777777778,55.80027777777778,0.922759471821251
1370,Центральный Департамент Недвижимости,real_estate_agent,https://www.cian.ru/sale/flat/304061493/,Москва,sale,flat,4,5,2,70.0,48600000.0,Хамовники, Усачева,29К2,Спортивная,,55.72365615,37.56419716975417,37.56388888888889,55.723333333333336,0.04082941448671519
1371,BARNES International Realty,real_estate_agent,https://www.cian.ru/sale/flat/307703173/,Москва,sale,flat,6,22,2,85.0,52000000.0,Пресненский,Шмитовский проезд,16С2,Деловой центр,Шмитовский 16,55.75852945,37.546267452708335,37.53944444444444,55.74916666666667,1.1270264221767754
1372,Времена года,real_estate_agent,https://www.cian.ru/sale/flat/306231090/,Москва,sale,flat,2,9,2,65.0,52900000.0,Раменки,Винницкая ,8к4,Раменки,Настоящее,55.7020377,37.49241938636364,37.49861111111111,55.6975,0.6378080817096808
1373,EstateLiga,real_estate_agent,https://www.cian.ru/sale/flat/306797735/,Москва,sale,flat,16,21,2,88.0,53990000.0,Раменки,Мосфильмовская ,88к4с1,Раменки,Мосфильмовский,55.70288915,37.49126036134085,37.49861111111111,55.6975,0.7573759315239542
1374,NIKA ESTATE,real_estate_agent,https://www.cian.ru/sale/flat/296351713/,Москва,sale,flat,13,16,2,75.3,54000000.0,Беговой,Ленинградский проспект,вл8,Белорусская,Slava,55.77859989477511,37.58006022000239,37.58361111111111,55.776666666666664,0.30980272746254517
1375,NIKA ESTATE,real_estate_agent,https://www.cian.ru/sale/flat/296351713/,Москва,sale,flat,13,16,2,75.3,54000000.0,Беговой,Ленинградский проспект,вл8,Белорусская,Slava,55.77859989477511,37.58006022000239,37.58444444444444,55.77638888888889,0.36916977180134064
1376,Алла Шмелева,realtor,https://www.cian.ru/sale/flat/303849520/,Москва,sale,flat,3,6,2,50.0,55000000.0,Пресненский,Скатертный переулок,30С1,Баррикадная,,55.7572251,37.590172342067305,37.57944444444445,55.76111111111111,0.8004968153678828
1377,Homeapp,real_estate_agent,https://www.cian.ru/sale/flat/307592202/,Москва,sale,flat,5,23,2,78.0,55500000.0,Обручевский,Профсоюзная ,68к3,Новые Черёмушки,Родной город. Воронцовский парк,55.66481615,37.5449839,37.55444444444444,55.67027777777778,0.8509808307178875
1378,Кузьма Ефимов,realtor,https://www.cian.ru/sale/flat/303462387/,Москва,sale,flat,6,28,2,84.0,56500000.0,Филевский парк, Василисы Кожиной,13,Парк Победы,Квартал апартаментов Match Point,55.73589845,37.49893553704712,37.51833333333333,55.736111111111114,1.2187493374305052
1379,Кузьма Ефимов,realtor,https://www.cian.ru/sale/flat/303462387/,Москва,sale,flat,6,28,2,84.0,56500000.0,Филевский парк, Василисы Кожиной,13,Парк Победы,Квартал апартаментов Match Point,55.73589845,37.49893553704712,37.51833333333333,55.736111111111114,1.2187493374305052
1380,Villagio Realty,real_estate_agent,https://www.cian.ru/sale/flat/308023120/,Москва,sale,flat,7,22,2,100.0,57000000.0,Пресненский,Шмитовский проезд,16С1,Улица 1905 года,Шмитовский 16,55.7583573,37.54891550747584,37.56138888888889,55.765,1.0770880308709778
1381,Monumental Group,real_estate_agent,https://www.cian.ru/sale/flat/300005835/,Москва,sale,flat,5,8,2,73.0,56899000.0,Пресненский,Тверской бульвар,17С1,Пушкинская,,55.76145275,37.6010655530046,37.60777777777778,55.765,0.5775083843384333
1382,ID 66982795,real_estate_agent,https://www.cian.ru/sale/flat/304943656/,Москва,sale,flat,1,9,2,68.2,60000000.0,Тверской,1-я Тверская-Ямская ,28,Белорусская,,55.77511085,37.587974302385405,37.58361111111111,55.776666666666664,0.3239979126355328
1383,ID 66982795,real_estate_agent,https://www.cian.ru/sale/flat/304943656/,Москва,sale,flat,1,9,2,68.2,60000000.0,Тверской,1-я Тверская-Ямская ,28,Белорусская,,55.77511085,37.587974302385405,37.58444444444444,55.77638888888889,0.263276990249486
1384,ID 413522,realtor,https://www.cian.ru/sale/flat/306891726/,Москва,sale,flat,4,11,2,78.9,60000000.0,Раменки,Винницкая ,8к2,Раменки,Настоящее,55.701040000000006,37.49532035172906,37.49861111111111,55.6975,0.44514176215692564
1385,ID 109135729,realtor,https://www.cian.ru/sale/flat/304330244/,Москва,sale,flat,4,21,2,65.11,63000000.0,Пресненский,Лаки жилой квартал,,Улица 1905 года,Lucky,,,37.56138888888889,55.765,
1386,PEOPLE,real_estate_agent,https://www.cian.ru/sale/flat/297544122/,Москва,sale,flat,3,11,2,67.0,64000000.0,Дорогомилово,,3к5,Парк Победы,Виктори Парк Резиденсез ЖК,,,37.51833333333333,55.736111111111114,
1387,PEOPLE,real_estate_agent,https://www.cian.ru/sale/flat/297544122/,Москва,sale,flat,3,11,2,67.0,64000000.0,Дорогомилово,,3к5,Парк Победы,Виктори Парк Резиденсез ЖК,,,37.51833333333333,55.736111111111114,
1388,Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/307779565/,Москва,sale,flat,11,13,2,76.0,67500000.0,Пресненский, Сергея Макеева,9к1,Улица 1905 года,RedSide,55.76092085,37.55028315350353,37.56138888888889,55.765,0.8320368845187601
1389,Ramenky Realty,real_estate_agent,https://www.cian.ru/sale/flat/307143962/,Москва,sale,flat,9,14,2,68.7,67000000.0,Раменки,проспект Генерала Дорохова,39к1Б,Минская,Собрание клубных домов West Garden,55.71740955,37.49649894087024,37.49666666666667,55.72472222222222,0.8142373726500626
1390,PEOPLE,real_estate_agent,https://www.cian.ru/sale/flat/306883426/,Москва,sale,flat,2,21,2,71.9,68000000.0,Пресненский, Костикова,4к1,Улица 1905 года,Lucky,55.7613104,37.5573303,37.56138888888889,55.765,0.4833823238965316
1391,Homeapp,real_estate_agent,https://www.cian.ru/sale/flat/305311254/,Москва,sale,flat,4,8,2,49.8,70000000.0,Якиманка,Софийская набережная,34,Новокузнецкая,Софийский,55.7473038,37.62280532243886,37.629444444444445,55.74138888888889,0.7794523646662928
1392,СТОЛИЦА Департамент недвижимости,real_estate_agent,https://www.cian.ru/sale/flat/305271719/,Москва,sale,flat,6,8,2,56.0,72000000.0,Якиманка,Софийская набережная,34,Новокузнецкая,Софийский,55.7473038,37.62280532243886,37.629444444444445,55.74138888888889,0.7794523646662928
1393,Homeapp,real_estate_agent,https://www.cian.ru/sale/flat/305390206/,Москва,sale,flat,6,8,2,54.8,72500000.0,Якиманка,Софийская набережная,34,Новокузнецкая,Софийский,55.7473038,37.62280532243886,37.629444444444445,55.74138888888889,0.7794523646662928
1394,Винидиктов и Партнеры,real_estate_agent,https://www.cian.ru/sale/flat/307628433/,Москва,sale,flat,6,24,2,90.0,74000000.0,Хорошевский,Хорошевское шоссе,25Ак3,Хорошёвская,Династия,,,37.51916666666666,55.776666666666664,
1395,RND,real_estate_agent,https://www.cian.ru/sale/flat/305600102/,Москва,sale,flat,8,9,2,60.7,74000000.0,Тверской,1-я Тверская-Ямская ,2,Маяковская,Vesper Tverskaya,55.77255728999912,37.59303372867971,37.59583333333333,55.77,0.33457340260734086
1396,Homeapp,real_estate_agent,https://www.cian.ru/sale/flat/280660461/,Москва,sale,flat,2,5,2,79.1,77122500.0,Красносельский,Уланский переулок,13С1,Тургеневская,"Уланский, 13",55.76899455,37.63898920520834,37.6375,55.76611111111111,0.3343661002386846
1397,Monumental Group,real_estate_agent,https://www.cian.ru/sale/flat/300006046/,Москва,sale,flat,4,6,2,156.0,77400000.0,Тверской, Малая Дмитровка,29С1,Маяковская,,55.7714201,37.60383274526147,37.59583333333333,55.77,0.5263645028670182
1398,FS PROPERTY,real_estate_agent,https://www.cian.ru/sale/flat/307655482/,Москва,sale,flat,4,7,2,67.3,79000000.0,Хамовники,Комсомольский проспект,42С2,Спортивная,Clerkenwell House,55.7217895,37.5728300277027,37.56388888888889,55.723333333333336,0.5875563794910259
1399,Homeapp,real_estate_agent,https://www.cian.ru/sale/flat/284287625/,Москва,sale,flat,3,5,2,81.9,80262000.0,Красносельский,Уланский переулок,13С1,Тургеневская,"Уланский, 13",55.76899455,37.63898920520834,37.6375,55.76611111111111,0.3343661002386846
1400,БАЛЧУГ РЕЗИДЕНС,representative_developer,https://www.cian.ru/sale/flat/303907938/,Москва,sale,flat,6,7,2,104.3,86047500.0,Замоскворечье,,,Новокузнецкая,Балчуг Резиденс ЖК,,,37.629444444444445,55.74138888888889,
