,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price,district,street,house_number,underground,residential_complex,latitude,longitude,und_long,und_lat,underground_distance
0,VESPER,developer,https://www.cian.ru/sale/flat/306599723/,Москва,sale,flat,9,9,-1,31.2,55848000.0,Тверской,1-я Тверская-Ямская ,2,Маяковская,Vesper Tverskaya,55.7756042,37.5878253,37.59583333333333,55.77,0.8011876409076365
1,hoomie,real_estate_agent,https://www.cian.ru/sale/flat/305679846/,Москва,sale,flat,7,20,1,27.87,14850725.0,Даниловский,,,Тульская,Форст ЖК,,,37.62277777777778,55.70861111111111,
2,Галс-Девелопмент,developer,https://www.cian.ru/sale/flat/301910802/,Москва,sale,flat,3,27,1,27.6,15925200.0,Басманный, Фридриха Энгельса,56,Бауманская,Дом 56,55.7768497,37.6909098,37.68055555555556,55.77305555555556,0.7750232886654289
3,hoomie,real_estate_agent,https://www.cian.ru/sale/flat/305679583/,Москва,sale,flat,6,20,1,24.93,13984508.0,Даниловский,Автозаводская ,26,Тульская,FORST,55.706447,37.65209268108206,37.62277777777778,55.70861111111111,1.8585113353295055
4,ID 71425028,unknown,https://www.cian.ru/sale/flat/307589922/,Москва,sale,flat,2,8,1,36.0,8950000.0,Тимирязевский,Дмитровское шоссе,46К1,Петровско-Разумовская,,55.8439272,37.56992030415302,37.574444444444445,55.835,1.0335694316738937
5,ID 71425028,unknown,https://www.cian.ru/sale/flat/307589922/,Москва,sale,flat,2,8,1,36.0,8950000.0,Тимирязевский,Дмитровское шоссе,46К1,Петровско-Разумовская,,55.8439272,37.56992030415302,37.574444444444445,55.835,1.0335694316738937
6,MR Group,developer,https://www.cian.ru/sale/flat/307413632/,Москва,sale,flat,2,21,1,22.9,12521949.0,Даниловский,,,Павелецкая,Павелецкая Сити ЖК,,,37.63777777777778,55.730555555555554,
7,MR Group,developer,https://www.cian.ru/sale/flat/307413632/,Москва,sale,flat,2,21,1,22.9,12521949.0,Даниловский,,,Павелецкая,Павелецкая Сити ЖК,,,37.63777777777778,55.73166666666667,
8,ХОРЕКА ИНВЕСТ,real_estate_agent,https://www.cian.ru/sale/flat/305916876/,Москва,sale,flat,4,4,-1,13.5,4255000.0,Марфино,Малая Ботаническая ,10А,Фонвизинская,,55.8330496,37.58881561070058,37.588055555555556,55.82277777777778,1.1446428034202791
9,hoomie,real_estate_agent,https://www.cian.ru/sale/flat/305679586/,Москва,sale,flat,7,20,1,27.73,14584621.0,Даниловский,Автозаводская ,26,Тульская,FORST,55.706447,37.65209268108206,37.62277777777778,55.70861111111111,1.8585113353295055
10,ХОРЕКА ИНВЕСТ,real_estate_agent,https://www.cian.ru/sale/flat/303965382/,Москва,sale,flat,1,6,-1,16.8,3696000.0,Марфино,Гостиничный проезд,8К1,Окружная,,55.8459757,37.576102103160615,37.57388888888889,55.846111111111114,0.13945438063201163
11,Среда,developer,https://www.cian.ru/sale/flat/306383368/,Москва,sale,flat,3,13,1,23.5,11350029.0,Очаково-Матвеевское,Очаково мкр,,Аминьевская,Среда на Лобачевского,,,37.465,55.69722222222222,
12,GloraX,developer,https://www.cian.ru/sale/flat/303476993/,Москва,sale,flat,2,21,-1,35.5,21329999.0,Беговой, 1-я Ямского Поля,28С3,Белорусская,GloraX Premium Белорусская,55.7831259,37.58499325847857,37.58361111111111,55.776666666666664,0.7243673469565184
13,GloraX,developer,https://www.cian.ru/sale/flat/303476993/,Москва,sale,flat,2,21,-1,35.5,21329999.0,Беговой, 1-я Ямского Поля,28С3,Белорусская,GloraX Premium Белорусская,55.7831259,37.58499325847857,37.58444444444444,55.77638888888889,0.7508742021364131
14,Среда,developer,https://www.cian.ru/sale/flat/304774967/,Москва,sale,flat,4,44,1,23.03,11704997.0,Кунцево,48-й кв-л,,Кунцевская,Кутузовский Квартал ЖК,,,37.44583333333333,55.73083333333334,
15,Среда,developer,https://www.cian.ru/sale/flat/304774967/,Москва,sale,flat,4,44,1,23.03,11704997.0,Кунцево,48-й кв-л,,Кунцевская,Кутузовский Квартал ЖК,,,37.44583333333333,55.73083333333334,
16,Среда,developer,https://www.cian.ru/sale/flat/304774967/,Москва,sale,flat,4,44,1,23.03,11704997.0,Кунцево,48-й кв-л,,Кунцевская,Кутузовский Квартал ЖК,,,37.44611111111111,55.72888888888889,
17,ГОРОБМЕН,real_estate_agent,https://www.cian.ru/sale/flat/306234673/,Москва,sale,flat,1,5,-1,12.0,2950000.0,Котловка,Нагорная ,22К2,Нагорная,,55.6795609,37.60112529441388,37.610277777777775,55.6725,0.9744577660353831
18,FORMA,developer,https://www.cian.ru/sale/flat/305605383/,Москва,sale,flat,5,33,1,27.36,20205360.0,Пресненский, Пресненский Вал,27С6,Белорусская,Republic,55.77153555,37.56889702354427,37.58361111111111,55.776666666666664,1.0858346987754925
19,FORMA,developer,https://www.cian.ru/sale/flat/305605383/,Москва,sale,flat,5,33,1,27.36,20205360.0,Пресненский, Пресненский Вал,27С6,Белорусская,Republic,55.77153555,37.56889702354427,37.58444444444444,55.77638888888889,1.1153387471450618
20,DOLGOV PRO,real_estate_agent,https://www.cian.ru/sale/flat/294355446/,Москва,sale,flat,10,14,1,28.7,18500000.0,Лефортово,проезд Шелихова,3,Площадь Ильича,Символ,55.7500081,37.69106368181819,37.6825,55.74722222222222,0.6208127459628949
21,ID 71425028,unknown,https://www.cian.ru/sale/flat/307676305/,Москва,sale,flat,2,8,-1,23.5,7550000.0,Тимирязевский,Дмитровское шоссе,46К1,Петровско-Разумовская,,55.8439272,37.56992030415302,37.574444444444445,55.835,1.0335694316738937
22,ID 71425028,unknown,https://www.cian.ru/sale/flat/307676305/,Москва,sale,flat,2,8,-1,23.5,7550000.0,Тимирязевский,Дмитровское шоссе,46К1,Петровско-Разумовская,,55.8439272,37.56992030415302,37.574444444444445,55.835,1.0335694316738937
23,MR Group,developer,https://www.cian.ru/sale/flat/306610091/,Москва,sale,flat,8,59,1,20.6,12924440.0,Можайский,,,Давыдково,Веер ЖК,,,37.45166666666667,55.71527777777778,
24,Дмитрий Асташов,realtor,https://www.cian.ru/sale/flat/307182224/,Москва,sale,flat,11,14,1,35.5,22500000.0,Хамовники,Большой Саввинский переулок,10С1,Киевская,,55.733764,37.56581819281624,37.565555555555555,55.74444444444445,1.1892439002913404
25,Дмитрий Асташов,realtor,https://www.cian.ru/sale/flat/307182224/,Москва,sale,flat,11,14,1,35.5,22500000.0,Хамовники,Большой Саввинский переулок,10С1,Киевская,,55.733764,37.56581819281624,37.565555555555555,55.743611111111115,1.0964726123787363
26,Дмитрий Асташов,realtor,https://www.cian.ru/sale/flat/307182224/,Москва,sale,flat,11,14,1,35.5,22500000.0,Хамовники,Большой Саввинский переулок,10С1,Киевская,,55.733764,37.56581819281624,37.565555555555555,55.74472222222222,1.2201679930371112
27,Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/307777295/,Москва,sale,flat,3,6,-1,30.0,5790000.0,Северное Медведково,Полярная ,31С1,Медведково,,55.8892591,37.63959376250311,37.66138888888889,55.88722222222222,1.382507646394515
28,MR Group,developer,https://www.cian.ru/sale/flat/303148951/,Москва,sale,flat,3,36,1,27.12,17934456.0,Савеловский,,,Дмитровская,Симфония 34 ЖК,,,37.58166666666666,55.80694444444445,
29,Елена Орлова,realtor,https://www.cian.ru/sale/flat/306217246/,Москва,sale,flat,1,5,-1,14.0,2450000.0,Даниловский,Павелецкая набережная,4,Крестьянская застава,,55.7134466,37.64676488202805,37.66722222222222,55.73305555555555,2.5335457813926725
30,РГ-Девелопмент,developer,https://www.cian.ru/sale/flat/307196060/,Москва,sale,flat,16,27,1,23.1,12679267.0,Щукино, Берзарина,,Щукинская,Октябрьское поле,,,37.464166666666664,55.80861111111111,
31,ГОРОБМЕН,real_estate_agent,https://www.cian.ru/sale/flat/307909297/,Москва,sale,flat,5,5,-1,13.0,2899999.0,Марьина роща,Стрелецкая ,6,Марьина Роща,,55.7953419,37.6016473,37.61611111111111,55.79527777777778,0.9072291985906222
32,ГОРОБМЕН,real_estate_agent,https://www.cian.ru/sale/flat/307909297/,Москва,sale,flat,5,5,-1,13.0,2899999.0,Марьина роща,Стрелецкая ,6,Марьина Роща,,55.7953419,37.6016473,37.617222222222225,55.79833333333333,1.0320723536416831
33,MR Group,developer,https://www.cian.ru/sale/flat/306603345/,Москва,sale,flat,21,36,1,29.3,26272255.0,Беговой,Ленинградский проспект,вл8,Белорусская,Slava,55.78226918809997,37.57373888962934,37.58361111111111,55.776666666666664,0.879102089615942
34,MR Group,developer,https://www.cian.ru/sale/flat/306603345/,Москва,sale,flat,21,36,1,29.3,26272255.0,Беговой,Ленинградский проспект,вл8,Белорусская,Slava,55.78226918809997,37.57373888962934,37.58444444444444,55.77638888888889,0.9380191455944468
35,Мангазея,developer,https://www.cian.ru/sale/flat/307851589/,Москва,sale,flat,8,40,1,33.9,18912810.0,Даниловский,Большая Тульская ,10с25,Тульская,Мангазея на Тульской,55.7091709,37.6215562,37.62277777777778,55.70861111111111,0.09889910140317804
36,Самолет Плюс Москва ЦАО,real_estate_agent,https://www.cian.ru/sale/flat/302652575/,Москва,sale,flat,5,5,-1,32.5,4450000.0,, Жемчужная,1к16,Филатов Луг,Марьино Град,56.0308319,38.1235092,37.40777777777778,55.60138888888889,65.56833911296631
37,Ташир,developer,https://www.cian.ru/sale/flat/302722410/,Москва,sale,flat,4,16,-1,24.0,13749600.0,Даниловский,Малая Тульская ,2,Тульская,DECO RESIDENCE (Апартаменты премиум-класса),55.7102097,37.617976365951634,37.62277777777778,55.70861111111111,0.350386981984239
38,Новые Ватутинки,real_estate_agent,https://www.cian.ru/sale/flat/300113349/,Москва,sale,flat,4,15,1,28.1,6769000.0,,,,Ольховая,"Новые Ватутинки, мкр. Заречный",,,37.45944444444444,55.56861111111111,
39,НДВ,real_estate_agent,https://www.cian.ru/sale/flat/305056468/,Москва,sale,flat,4,9,1,12.8,4300000.0,Очаково-Матвеевское,Аминьевское шоссе,7,Аминьевская,New Form Аминьевское,55.70377945,37.45499185827264,37.465,55.69722222222222,0.9638193917289655
40,Forma,developer,https://www.cian.ru/sale/flat/297983441/,Москва,sale,flat,16,20,1,23.8,14427441.0,Аэропорт,Северный ао,к1,Сокол,Соул ЖК,51.2209421,58.6291115,37.515277777777776,55.805,1483.5782928261647
41,ID 66341073,realtor,https://www.cian.ru/sale/flat/307096946/,Москва,sale,flat,14,23,1,29.0,19500000.0,Хорошево-Мневники, Нижние Мневники,16к4,Мнёвники,Остров,55.7599018,37.469507,37.47138888888889,55.76111111111111,0.17912493779709013
42,Константин Кудрявцев,realtor,https://www.cian.ru/sale/flat/307303087/,Москва,sale,flat,2,8,1,21.2,6900000.0,Тимирязевский,Дмитровское шоссе,46К1,Петровско-Разумовская,,55.8439272,37.56992030415302,37.574444444444445,55.835,1.0335694316738937
43,Константин Кудрявцев,realtor,https://www.cian.ru/sale/flat/307303087/,Москва,sale,flat,2,8,1,21.2,6900000.0,Тимирязевский,Дмитровское шоссе,46К1,Петровско-Разумовская,,55.8439272,37.56992030415302,37.574444444444445,55.835,1.0335694316738937
44,GloraX,developer,https://www.cian.ru/sale/flat/303476996/,Москва,sale,flat,2,21,-1,34.19,20709999.0,Беговой, 1-я Ямского Поля,28С3,Белорусская,GloraX Premium Белорусская,55.7831259,37.58499325847857,37.58361111111111,55.776666666666664,0.7243673469565184
45,GloraX,developer,https://www.cian.ru/sale/flat/303476996/,Москва,sale,flat,2,21,-1,34.19,20709999.0,Беговой, 1-я Ямского Поля,28С3,Белорусская,GloraX Premium Белорусская,55.7831259,37.58499325847857,37.58444444444444,55.77638888888889,0.7508742021364131
46,Винидиктов и Партнеры,real_estate_agent,https://www.cian.ru/sale/flat/299019835/,Москва,sale,flat,7,26,1,31.0,25990000.0,Пресненский, Пресненский Вал,27С2,Белорусская,Republic,55.77153555,37.56889702354427,37.58361111111111,55.776666666666664,1.0858346987754925
47,Винидиктов и Партнеры,real_estate_agent,https://www.cian.ru/sale/flat/299019835/,Москва,sale,flat,7,26,1,31.0,25990000.0,Пресненский, Пресненский Вал,27С2,Белорусская,Republic,55.77153555,37.56889702354427,37.58444444444444,55.77638888888889,1.1153387471450618
48,ГОРОБМЕН,real_estate_agent,https://www.cian.ru/sale/flat/304259004/,Москва,sale,flat,1,4,-1,15.4,3200000.0,Таганский,1-я Дубровская ,5А,Пролетарская,,,,37.66583333333333,55.731944444444444,
49,Донстрой,developer,https://www.cian.ru/sale/flat/306643425/,Москва,sale,flat,3,50,1,22.3,15112710.0,Раменки,м. Мичуринский проспект,,Мичуринский проспект,Событие,,,37.48305555555555,55.68944444444445,
50,Донстрой,developer,https://www.cian.ru/sale/flat/306643425/,Москва,sale,flat,3,50,1,22.3,15112710.0,Раменки,м. Мичуринский проспект,,Мичуринский проспект,Событие,,,37.485277777777775,55.68833333333333,
51,Александр Сазонов,realtor,https://www.cian.ru/sale/flat/295998456/,Москва,sale,flat,1,5,-1,16.0,5700000.0,Беговой, Новая Башиловка,6,Динамо,,55.78677845,37.56938107453625,37.558055555555555,55.789722222222224,0.7824432038169038
52,Донстрой,developer,https://www.cian.ru/sale/flat/307351227/,Москва,sale,flat,3,21,1,24.6,13677600.0,Лефортово,,,Римская,Символ ЖК,,,37.68194444444445,55.74638888888889,
53,Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/307743652/,Москва,sale,flat,15,29,1,27.0,16100000.0,Очаково-Матвеевское,Аминьевское шоссе,4Дк2,Аминьевская,Вестердам,,,37.465,55.69722222222222,
54,Донстрой,developer,https://www.cian.ru/sale/flat/304199104/,Москва,sale,flat,7,21,1,28.1,19445200.0,Хорошево-Мневники,Жилой комплекс остров,6,Мнёвники,Остров,55.7519211,37.45306325883237,37.47138888888889,55.76111111111111,1.5397146537576636
55,Елена Орлова,realtor,https://www.cian.ru/sale/flat/307233633/,Москва,sale,flat,1,5,-1,10.0,2200000.0,Текстильщики, Юных Ленинцев,14/16к1,Волжская,,55.69939855,37.74234429401741,37.753055555555555,55.69083333333333,1.1675053319704418
56,Hutton Development,developer,https://www.cian.ru/sale/flat/305627303/,Москва,sale,flat,4,8,1,33.47,22900000.0,Гагаринский,м. Ленинский проспект,,Ленинский проспект,Лунар ЖК,,,37.58611111111111,55.70777777777778,
57,ID 48155603,homeowner,https://www.cian.ru/sale/flat/302157898/,Москва,sale,flat,3,3,1,30.5,4500000.0,, Радужная,2,Прокшино,,55.5944995,37.3671406,37.43388888888889,55.58611111111111,4.310935835333077
58,ГОРОБМЕН,real_estate_agent,https://www.cian.ru/sale/flat/307584552/,Москва,sale,flat,1,5,-1,14.0,3690000.0,Черемушки,Новочеремушкинская ,38К1,Профсоюзная,,55.67447985,37.57002639805752,37.562777777777775,55.67805555555555,0.6053551424334707
59,MR Group,developer,https://www.cian.ru/sale/flat/306474401/,Москва,sale,flat,5,54,1,22.72,15599370.0,Хорошево-Мневники,,,Полежаевская,Джойс ЖК,,,37.51916666666666,55.7775,
60,ID 12530791,unknown,https://www.cian.ru/sale/flat/304061764/,Москва,sale,flat,7,37,1,29.2,24300000.0,Беговой,Ленинградский проспект,вл8,Белорусская,Slava,55.78226918809997,37.57373888962934,37.58361111111111,55.776666666666664,0.879102089615942
61,ID 12530791,unknown,https://www.cian.ru/sale/flat/304061764/,Москва,sale,flat,7,37,1,29.2,24300000.0,Беговой,Ленинградский проспект,вл8,Белорусская,Slava,55.78226918809997,37.57373888962934,37.58444444444444,55.77638888888889,0.9380191455944468
62,Аеон-Девелопмент,developer,https://www.cian.ru/sale/flat/301173746/,Москва,sale,flat,3,46,1,36.8,30197245.0,Дорогомилово,Кутузовский проезд,16А/1,Фили,River Park Кутузовский,55.7396971,37.524063,37.515,55.74611111111111,0.913218701997229
63,ID 9181948,realtor,https://www.cian.ru/sale/flat/307548167/,Москва,sale,flat,5,20,-1,27.0,19450000.0,Беговой,Бумажный проезд,4,Белорусская,Клубный дом SOHO+NOHO,55.786671,37.5864925989124,37.58361111111111,55.776666666666664,1.1284385733099809
64,ID 9181948,realtor,https://www.cian.ru/sale/flat/307548167/,Москва,sale,flat,5,20,-1,27.0,19450000.0,Беговой,Бумажный проезд,4,Белорусская,Клубный дом SOHO+NOHO,55.786671,37.5864925989124,37.58444444444444,55.77638888888889,1.1519786217259345
65,ОГРК,real_estate_agent,https://www.cian.ru/sale/flat/307242673/,Москва,sale,flat,2,19,1,20.0,4600000.0,Некрасовка, Лавриненко,5,Некрасовка,Некрасовка,55.7015896,37.94659894663309,37.928333333333335,55.702777777777776,1.1559846578683475
66,РГ-Девелопмент,developer,https://www.cian.ru/sale/flat/296110745/,Москва,sale,flat,17,30,1,23.4,8402940.0,Чертаново Южное,,1.1,Аннино,Варшавские Ворота ЖК,,,37.596666666666664,55.58277777777778,
67,PROНЕДВИЖИМОСТЬ,real_estate_agent,https://www.cian.ru/sale/flat/307438192/,Москва,sale,flat,6,9,1,19.9,9000000.0,Люблино,Цимлянская ,3к2,Люблино,,55.6698956,37.77334236754315,37.76166666666667,55.67583333333333,0.9882803268720427
68,Sminex,developer,https://www.cian.ru/sale/flat/307223489/,Москва,sale,flat,13,14,1,27.0,21690000.0,Раменки,проспект Генерала Дорохова,39к2М,Ломоносовский проспект,Собрание клубных домов West Garden,55.7149825,37.49768979369828,37.51611111111111,55.70722222222222,1.4447388029179478
69,Vysotsky Estate,real_estate_agent,https://www.cian.ru/sale/flat/294202199/,Москва,sale,flat,1,9,1,12.0,4300000.0,Чертаново Центральное,Днепропетровская ,5К2,Южная,,55.62087735,37.6016665,37.60888888888889,55.6225,0.489568644855562
70,CENTURY 21 Столичная недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/307377052/,Москва,sale,flat,14,18,-1,20.0,8700000.0,Останкинский,Березовая аллея,19к1,Ботанический сад,Апарт-комплекс Легендарный квартал,55.849068200000005,37.624268218174905,37.638333333333335,55.845,0.9906399045319427
71,Агентство недвижимости Светланы Наумовой,real_estate_agent,https://www.cian.ru/sale/flat/307780418/,Москва,sale,flat,18,21,1,21.6,7450000.0,Солнцево,Производственная ,17,Солнцево,Лучи,55.6430805,37.3809892,37.39111111111111,55.64944444444444,0.9529725746216885
72,ZIP Realty,real_estate_agent,https://www.cian.ru/sale/flat/307447871/,Москва,sale,flat,22,22,-1,19.4,8880000.0,Тропарево-Никулино,Ленинский проспект,158,Юго-Западная,,55.6514491,37.48308864617485,37.483333333333334,55.66361111111111,1.3541522576188274
73,Ташир,developer,https://www.cian.ru/sale/flat/307067004/,Москва,sale,flat,11,21,-1,34.7,13959810.0,Очаково-Матвеевское,Аминьевское шоссе,6,Давыдково,West Tower (Апартаменты бизнес-класса),55.70719585,37.45693725986909,37.45166666666667,55.71527777777778,0.9588647288305292
74,Msk Estate,real_estate_agent,https://www.cian.ru/sale/flat/307078166/,Москва,sale,flat,22,22,-1,16.0,8880000.0,Тропарево-Никулино,Ленинский проспект,158,Юго-Западная,,55.6514491,37.48308864617485,37.483333333333334,55.66361111111111,1.3541522576188274
75,Rent Moscow,real_estate_agent,https://www.cian.ru/sale/flat/307632958/,Москва,sale,flat,1,9,1,10.2,3500000.0,Орехово-Борисово Южное,Ореховый бульвар,12К2,Домодедовская,,55.6073784,37.71278865868872,37.71861111111111,55.61083333333333,0.5316027560335861
76,Forma,developer,https://www.cian.ru/sale/flat/301653549/,Москва,sale,flat,10,22,1,25.4,15079980.0,Печатники,,,Печатники,Портлэнд ЖК,,,37.72694444444444,55.693333333333335,
77,Forma,developer,https://www.cian.ru/sale/flat/301653549/,Москва,sale,flat,10,22,1,25.4,15079980.0,Печатники,,,Печатники,Портлэнд ЖК,,,37.727222222222224,55.69444444444444,
78,ZIP Realty,real_estate_agent,https://www.cian.ru/sale/flat/305630536/,Москва,sale,flat,22,22,-1,14.3,8280000.0,Тропарево-Никулино,Ленинский проспект,158,Юго-Западная,,55.6514491,37.48308864617485,37.483333333333334,55.66361111111111,1.3541522576188274
79,Елена Орлова,realtor,https://www.cian.ru/sale/flat/307233708/,Москва,sale,flat,1,5,-1,20.2,3250000.0,Текстильщики, Юных Ленинцев,14/16к1,Волжская,,55.69939855,37.74234429401741,37.753055555555555,55.69083333333333,1.1675053319704418
80,LEGENDA Intelligent Development,developer,https://www.cian.ru/sale/flat/301551578/,Москва,sale,flat,16,34,1,29.4,14644140.0,Левобережный,Ленинградское шоссе,,Беломорская,Северный порт. Береговые кварталы,,,37.47638888888889,55.865833333333335,
81,Homeapp,real_estate_agent,https://www.cian.ru/sale/flat/305287846/,Москва,sale,flat,10,25,1,32.9,7990000.0,Ярославский,Лосиноостровская ,вл45к1,Свиблово,Сказочный лес,,,37.65277777777778,55.85527777777778,
82,PIONEER,developer,https://www.cian.ru/sale/flat/306886958/,Москва,sale,flat,5,25,1,27.04,13984278.0,Москворечье-Сабурово,,,Варшавская,Лайф Варшавская ЖК,,,37.61944444444445,55.653333333333336,
83,ХОРЕКА ИНВЕСТ,real_estate_agent,https://www.cian.ru/sale/flat/303962182/,Москва,sale,flat,1,6,-1,13.1,3144000.0,Марфино,Гостиничный проезд,8К1,Окружная,,55.8459757,37.576102103160615,37.57388888888889,55.846111111111114,0.13945438063201163
84,MR Group,developer,https://www.cian.ru/sale/flat/305978241/,Москва,sale,flat,14,44,1,30.4,17793120.0,Марьина роща, 4-я Марьиной рощи,12К3,Марьина Роща,Mod,55.7936776,37.6241734,37.61611111111111,55.79527777777778,0.5361608236941184
85,MR Group,developer,https://www.cian.ru/sale/flat/305978241/,Москва,sale,flat,14,44,1,30.4,17793120.0,Марьина роща, 4-я Марьиной рощи,12К3,Марьина Роща,Mod,55.7936776,37.6241734,37.617222222222225,55.79833333333333,0.6773334120860346
86,Дома Мечты,real_estate_agent,https://www.cian.ru/sale/flat/305637064/,Москва,sale,flat,3,3,-1,19.0,2750000.0,Дмитровский,Ижорский проезд,11с1,Лианозово,,55.889144,37.519411,37.54472222222222,55.89888888888889,1.91960013142122
87,Группа Родина,developer,https://www.cian.ru/sale/flat/305467844/,Москва,sale,flat,2,23,1,25.4,15785440.0,Ростокино,,к5,Ботанический сад,Союз ЖК,,,37.638333333333335,55.845,
88,ID 38664936,homeowner,https://www.cian.ru/sale/flat/307486697/,Москва,sale,flat,9,9,1,27.0,7190000.0,, Мостовая,5к1,Филатов Луг,,56.0112359,37.10939,37.40777777777778,55.60138888888889,49.31846221253911
89,MR Group,developer,https://www.cian.ru/sale/flat/303135276/,Москва,sale,flat,2,10,1,22.6,11638269.0,Покровское-Стрешнево,,,Тушинская,Ситизен ЖК,,,37.43666666666667,55.82666666666667,
90,РКС Девелопмент,developer,https://www.cian.ru/sale/flat/301447808/,Москва,sale,flat,2,16,-1,29.01,14037939.0,Даниловский,Автозаводская ,24К1,Тульская,Дом на набережной INSIDER,55.7078531,37.6588466,37.62277777777778,55.70861111111111,2.2689285397022236
91,Арт Риэлти,real_estate_agent,https://www.cian.ru/sale/flat/307603299/,Москва,sale,flat,14,19,1,34.0,16200000.0,Хорошево-Мневники,проспект Маршала Жукова,39Ак1,Народное Ополчение,Wellton park,,,37.485,55.77583333333333,
92,Самолет Плюс МСК-Север,real_estate_agent,https://www.cian.ru/sale/flat/303762522/,Москва,sale,flat,1,3,-1,18.0,4300000.0,Нагорный,Электролитный проезд,3С32,Нагорная,,55.6733913,37.61956629276123,37.610277777777775,55.6725,0.5927857400357168
93,Sminex,developer,https://www.cian.ru/sale/flat/307223960/,Москва,sale,flat,20,21,1,25.21,19510000.0,Марфино, Академика Королева,21,Бутырская,Дом Достижение,55.821065,37.6015741,37.602777777777774,55.81333333333333,0.8641327940132292
94,Вертикаль,real_estate_agent,https://www.cian.ru/sale/flat/302409826/,Москва,sale,flat,5,17,1,20.0,7200000.0,,проспект Куприна,24к3,Потапово,Бунинские луга,55.544280400000005,37.47792881224043,37.49305555555556,55.55305555555555,1.366035461186854
95,Основа,developer,https://www.cian.ru/sale/flat/286250541/,Москва,sale,flat,9,29,-1,29.7,12869426.0,Фили-Давыдково, Ивана Франко,6,Кунцевская,MainStreet,55.72848845,37.4513309988824,37.44583333333333,55.73083333333334,0.4329703394565841
96,Основа,developer,https://www.cian.ru/sale/flat/286250541/,Москва,sale,flat,9,29,-1,29.7,12869426.0,Фили-Давыдково, Ивана Франко,6,Кунцевская,MainStreet,55.72848845,37.4513309988824,37.44583333333333,55.73083333333334,0.4329703394565841
97,Основа,developer,https://www.cian.ru/sale/flat/286250541/,Москва,sale,flat,9,29,-1,29.7,12869426.0,Фили-Давыдково, Ивана Франко,6,Кунцевская,MainStreet,55.72848845,37.4513309988824,37.44611111111111,55.72888888888889,0.3309776750287669
98,Century 21 Premium Property,real_estate_agent,https://www.cian.ru/sale/flat/304962546/,Москва,sale,flat,3,5,-1,35.0,29000000.0,Тверской, Петровка,26С3,Пушкинская,La Rue,55.76611185,37.61613149028091,37.60777777777778,55.765,0.538776116962379
99,Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/307393903/,Москва,sale,flat,2,12,-1,21.5,6600000.0,Беговой,Ленинградский проспект,33А,Динамо,,55.7883198,37.55787371036429,37.558055555555555,55.789722222222224,0.15655902329696966
100,МИЦ-Столичный ипотечный центр недвижимости,real_estate_agent,https://www.cian.ru/sale/flat/301675898/,Москва,sale,flat,5,5,-1,15.5,3800000.0,Черемушки,Херсонская ,41А,Зюзино,,55.65389345,37.55750465,37.57361111111111,55.655833333333334,1.0366130630428354
101,Основа,developer,https://www.cian.ru/sale/flat/293623776/,Москва,sale,flat,22,28,-1,18.1,10860000.0,Хорошево-Мневники,,,Полежаевская,Эмоушен ЖК,,,37.51916666666666,55.7775,
102,do A.S.A.P.,real_estate_agent,https://www.cian.ru/sale/flat/302446220/,Москва,sale,flat,4,53,1,31.5,12600000.0,Свиблово,проезд Серебрякова,11-13к1,Ботанический сад,Afi Tower,,,37.638333333333335,55.845,
103,Адресат,real_estate_agent,https://www.cian.ru/sale/flat/307723786/,Москва,sale,flat,3,3,1,30.0,4990000.0,, Радужная,2,Прокшино,,55.5944995,37.3671406,37.43388888888889,55.58611111111111,4.310935835333077
104,MR Group,developer,https://www.cian.ru/sale/flat/307966985/,Москва,sale,flat,5,21,1,25.15,10907565.0,Западное Дегунино,Северный ао,,Селигерская,Селигер Сити ЖК,,,37.547222222222224,55.86638888888889,
105,Олег Костюков,realtor,https://www.cian.ru/sale/flat/291304191/,Москва,sale,flat,1,8,-1,15.6,4700000.0,Беговой, Правды,7/9К1,Белорусская,,55.7857109,37.57684999108857,37.58361111111111,55.776666666666664,1.0926786021367052
106,Олег Костюков,realtor,https://www.cian.ru/sale/flat/291304191/,Москва,sale,flat,1,8,-1,15.6,4700000.0,Беговой, Правды,7/9К1,Белорусская,,55.7857109,37.57684999108857,37.58444444444444,55.77638888888889,1.1420538479827134
107,Prime Life Development,developer,https://www.cian.ru/sale/flat/307945438/,Москва,sale,flat,6,28,1,29.47,16632631.0,Нагатино-Садовники,,,Нагатинская,Первый Нагатинский,,,37.6225,55.683055555555555,
108,Rent Moscow,real_estate_agent,https://www.cian.ru/sale/flat/307347231/,Москва,sale,flat,1,5,1,10.0,3700000.0,Покровское-Стрешнево,Полесский проезд,12,Щукинская,,55.81237055,37.46440484732334,37.464166666666664,55.80861111111111,0.4188361391097867
109,ASTERUS,developer,https://www.cian.ru/sale/flat/306225099/,Москва,sale,flat,2,30,1,22.5,11745000.0,Покровское-Стрешнево,,,Тушинская,Алиа ЖК,,,37.43666666666667,55.82666666666667,
110,Владимир Жуков,realtor,https://www.cian.ru/sale/flat/306015437/,Москва,sale,flat,2,4,-1,11.7,3500000.0,Нижегородский,Подъемная ,14С25,Авиамоторная,,55.74247375,37.710738135338914,37.719166666666666,55.7525,1.2354254611624447
